Agency	value	key	Sector	Country	Province	Adm3	Latitude	Longitude	geo
Oxfam			Cash-unconditional 	Nepal	Gorkha		28.4763941	84.6897495	"""28.4763941,84.6897495"""
Oxfam			Cash-unconditional 	Nepal	Nuwakot		27.8866393	85.1479364	"""27.8866393,85.1479364"""
Oxfam			Livelihoods	Nepal	Gorkha		28.4763941	84.6897495	"""28.4763941,84.6897495"""
Oxfam			Livelihoods	Nepal	Nuwakot		27.8866393	85.1479364	"""27.8866393,85.1479364"""
Age International			Emergency Shelter	Nepal	Nuwakot		28.137853	83.872482	"""28.137853,83.872482"""
Age International			Emergency Shelter	Nepal	Sindhupalchowk		27.951203	85.684578	"""27.951203,85.684578"""
Age International			NFI	Nepal	Nuwakot		28.137853	83.872482	"""28.137853,83.872482"""
Age International			NFI	Nepal	Sindhupalchowk		27.951203	85.684578	"""27.951203,85.684578"""
Age International			Health	Nepal	Kathmandu		27.717245	85.32396	"""27.717245,85.32396"""
Age International			Health	Nepal	Bhaktapur		27.671022	85.42982	"""27.671022,85.42982"""
Age International			Health	Nepal	Nuwakot		28.137853	83.872482	"""28.137853,83.872482"""
Age International			Health	Nepal	Sindhupalchowk		27.951203	85.684578	"""27.951203,85.684578"""
Age International			Health	Nepal	Kavrepalanchowk		27.525942	85.56121	"""27.525942,85.56121"""
Age International			Other	Nepal	Kathmandu		27.717245	85.32396	"""27.717245,85.32396"""
Age International			Other	Nepal	Bhaktapur		27.671022	85.42982	"""27.671022,85.42982"""
Age International			Other	Nepal	Nuwakot		28.137853	83.872482	"""28.137853,83.872482"""
Age International			Other	Nepal	Sindhupalchowk		27.951203	85.684578	"""27.951203,85.684578"""
Age International			Livelihoods	Nepal	Kathmandu		27.717245	85.32396	"""27.717245,85.32396"""
Age International			Livelihoods	Nepal	Bhaktapur		27.671022	85.42982	"""27.671022,85.42982"""
Age International			Livelihoods	Nepal	Nuwakot		28.137853	83.872482	"""28.137853,83.872482"""
Age International			Livelihoods	Nepal	Sindhupalchowk		27.951203	85.684578	"""27.951203,85.684578"""
